"","spotify_id","name","artists","daily_rank","daily_movement","weekly_movement","country","snapshot_date","popularity","is_explicit","duration_ms","album_name","album_release_date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"1980985","2ImdwbujxKFxN1UxEvf2dD","LAISSE MOI","KeBlack",19,1,-2,"LU","2023-11-22",81,"True",168620,"LAISSE MOI","2023-09-08",0.765,0.717,10,-7.877,0,0.349,0.456,1.01e-05,0.126,0.695,120.025,4
"999090","1jyva7msC2LeaBA9jFCsLZ","Aurinkoon","HUGO",27,-2,-4,"FI","2024-08-21",61,"False",147291,"Aurinkoon","2024-05-10",0.693,0.822,6,-5.938,0,0.0399,0.0604,8.56e-06,0.0699,0.373,128.14,4
"959314","1OWQtElgSSmAcIT6fZLJ6R","Narcos","Hard Rico, Yzomandias",1,0,0,"CZ","2024-09-01",65,"True",191250,"Narcos","2024-05-31",0.882,0.636,9,-6.876,0,0.212,0.12,0,0.0926,0.458,128.046,4
"1392426","2dWJ5xYr3QqcOeSuatbdzg","Úıde","Darkhan Juzz",13,0,1,"KZ","2024-05-05",52,"False",156160,"TBRN","2019-04-26",0.746,0.522,7,-12.086,1,0.283,0.301,0,0.342,0.476,77.095,4
"1699931","01GVrWU4CZgZyHFMShuQb1","MAGHRIBI","ElGrandeToto",5,0,-1,"MA","2024-02-07",68,"True",254800,"27","2023-11-24",0.626,0.513,0,-10.593,0,0.0941,0.453,0.00124,0.108,0.41,160.028,4
"1045323","5jFA0f4ZDGLbQP4nxzL8D4","HAY LUPITA","Lomiiel",10,0,-4,"NI","2024-08-08",84,"False",105836,"HAY LUPITA","2024-03-28",0.845,0.583,0,-3.455,1,0.287,0.00204,0.000459,0.11,0.903,145.078,4
"1111194","6YOfGIE6iFxC7G8OlGGvzW","ROCKSTAR","Junior H",31,-3,7,"MX","2024-07-21",82,"True",168677,"$AD BOYZ 4 LIFE II","2023-10-05",0.761,0.658,11,-7.188,1,0.0429,0.292,1.55e-06,0.137,0.895,125.036,3
"238654","1imaIe1NEAaWnLF0BY0V6F","sining (feat. Jay R)","Dionela, Jay R",8,1,1,"PH","2025-03-29",81,"False",200000,"sining (feat. Jay R)","2024-06-07",0.65,0.424,9,-11,1,0.109,0.438,0,0.102,0.403,119.589,4
"782340","0WbMK4wrZ1wFSty9F7FCgu","Good Luck, Babe!","Chappell Roan",20,0,2,"PT","2024-10-19",95,"False",218423,"Good Luck, Babe!","2024-04-05",0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
"1245500","5kR18jBm2HQaavnVSVg3a8","Pe un pat","Iuly Neamtu, Manele Mentolate",37,-2,3,"RO","2024-06-14",51,"False",157333,"Pe un pat","2023-05-17",0.671,0.803,7,-3.713,0,0.133,0.0756,0,0.122,0.403,179.902,4
"1425789","0fea68AdmYNygeTGI4RC18","LA CANCIÓN","J Balvin, Bad Bunny",26,-3,-9,"HN","2024-04-26",85,"False",242573,"OASIS","2019-06-28",0.754,0.646,7,-5.795,1,0.317,0.152,1.85e-05,0.108,0.429,176.089,4
"924091","2Dbq5moIguMsbRZa9SB7gD","Permitame (feat. Yandel)","Tony Dize, Yandel",28,-1,-1,"SV","2024-09-10",76,"False",184506,"La Melodia de la Calle (Remastered)","2009-11-09",0.641,0.674,8,-7.272,1,0.183,0.0181,0,0.113,0.894,214.047,4
"1071045","1llaUCfG1g5WzKt6JafYyk","Despídase bien","Carin Leon",32,1,0,"MX","2024-08-01",81,"True",231375,"Boca Chueca, Vol. 1","2024-05-30",0.689,0.577,11,-5.029,0,0.0482,0.623,0.00653,0.197,0.382,160.025,3
"1621803","5XeFesFbtLpXzIVDNQP22n","I Wanna Be Yours","Arctic Monkeys",18,0,-1,"","2024-02-28",96,"False",183956,"AM","2013-09-09",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
"726399","3tMftGMXTPbQlmjh4FzXpZ","Me has invitado a bailar","Dani Fernández",25,0,-6,"ES","2024-11-04",58,"False",192906,"La Jauría","2024-10-25",0.665,0.544,10,-3.648,1,0.115,0.0129,0,0.0752,0.625,163.948,4
"838874","5ubQrs2wWoSgRwEaPZd4eS","H&K","LACAZETTE",8,0,-1,"DE","2024-10-04",74,"True",139428,"H&K","2024-05-24",0.731,0.716,1,-9.122,0,0.315,0.0801,0,0.308,0.656,126.883,4
"1341398","2vNPGH1x5ZwxTjlvzLCyc2","Fate","(G)I-DLE",35,6,-6,"KR","2024-05-19",75,"False",161546,"2","2024-01-29",0.872,0.73,0,-4.86,1,0.0998,0.227,0,0.374,0.812,114.956,4
"852515","1Es7AUAhQvapIcoh3qMKDL","Timeless (with Playboi Carti)","The Weeknd, Playboi Carti",2,-1,48,"IS","2024-09-30",83,"True",256000,"Timeless","2024-09-27",0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56e-06,0.111,0.57,119.973,4
"1927039","1rv46mRwDqMEhOBZ7vODg3","It's Beginning to Look a Lot like Christmas","Michael Bublé",6,0,4,"GB","2023-12-07",84,"False",207199,"Christmas (Deluxe Special Edition)","2011-10-14",0.331,0.223,4,-11.274,1,0.0338,0.88,5.92e-06,0.343,0.355,92.896,3
"971744","0nOYzdwXVX4ATRYVENxOyb","Haram Aliek","Nasrat Al Badr",31,0,16,"SA","2024-08-28",52,"False",290377,"Nasrat Al Badr Collection","2018-10-25",0.423,0.789,0,-7.618,0,0.161,0.338,0,0.239,0.764,207.986,4
"1663124","5O4erNlJ74PIF6kGol1ZrC","Could You Be Loved","Bob Marley & The Wailers",48,2,2,"NZ","2024-02-17",86,"False",237000,"Uprising","1980-01-01",0.916,0.72,0,-8.548,1,0.1,0.36,0.00016,0.0958,0.76,103.312,4
"86911","3D24ErT1MMmUfXWotSj2A2","ME JALO","Fuerza Regida, Grupo Frontera",14,-1,-7,"SV","2025-05-18",92,"True",212002,"MALA MÍA","2024-12-19",0.47,0.75,2,-5.887,0,0.112,0.216,0,0.169,0.62,79.814,4
"847423","4RiudH8RehvLLrk8uNgIdR","Nightwalker","TEN",7,1,-4,"TH","2024-10-01",78,"False",204373,"TEN - The 1st Mini Album","2024-02-13",0.439,0.704,7,-5.162,1,0.108,0.111,3.28e-05,0.33,0.576,128.038,4
"22684","1i1n7hUzCDkXGFqIJSSzom","frente al mar","Beéle",34,-4,-6,"PE","2025-06-05",77,"False",165178,"BORONDO","2025-05-15",0.75,0.682,10,-3.825,1,0.0945,0.168,1.28e-06,0.112,0.618,100.036,4
"10789","1BJJbSX6muJVF2AK7uH1x4","Move","Adam Port, Stryv, Keinemusik, Orso, Malachiii",39,-5,4,"AE","2025-06-09",88,"False",177598,"Move","2024-06-07",0.727,0.782,8,-8.529,0,0.042,0.0563,0.336,0.225,0.655,119.992,4
